照片,該照片的文字敘述
文件一_第40頁,這是一張結合人物訪談與社群推廣的精緻垂直排版圖卡，主題為「資料科學系在學什麼？—— DATA SCIENCE X 行銷應用」。畫面中央是長相清秀的資科系江佳霓同學受訪特寫，她留著齊瀏海與烏黑長髮，身穿黑色露肩上衣，正對著鏡頭侃侃而談。她身旁的亮黃色發光燈泡插圖配上重點文字：「數據會描述使用者的行為!!」，下方字幕則展示其受訪金句：「例如就是使用者，他們為什麼會進入這個網站」。畫面上下延續深邃的星際太空設計風格，飄浮著土星、月球與手拿平板的小太空人插畫。底部整齊排列著巨資官網、資科FB、官方IG與YouTube頻道的四組QR Code，以極具吸睛效果的社群語言向高中生解密數據行銷的魅力。
文件一_第41頁,這張照片記錄了東吳大學巨量資料管理學院舉辦招生實體說明會的隆重開場。在裝潢雅緻、配有溫潤木質牆面的階梯演講廳內，巨資學院金凱儀院長身穿草綠色休閒外套內搭鵝黃色上衣，神采飛揚地站立在講台正前方，右手握著黑色無線麥克風向台下滿座的家長與準大一新生發表演說。她身後的大型高解析投影布幕上展示著簡報首頁，中央以醒目的白底大圓圈呈現「巨量資料管理學院 資料科學系」，右下方標明「主講人：金凱儀」。講桌上整齊擺放著紅色的東吳大學官方禮品袋與多份摺頁文宣，前景可見專注聆聽並翻閱介紹手冊的學生背影，整體畫面洋溢著學院領導者向外界展示辦學成效的熱忱與自信。
文件一_第42頁,這張照片是金凱儀院長在招生說明會上發言的精彩個人特寫。金院長留著一頭俐落優雅的深色短髮，面容白皙且帶著和藹可親的微笑，展現出學者與行政主管兼備的親和力與專業風範。她雙手拿著麥克風與折疊文宣資料，眼神溫暖地注視著觀眾席上的家長，以清晰平易近人的語言娓娓道來東吳巨資學院在全國首創的大數據跨領域培育體系。她身後是外雙溪校區講堂深具代表性的厚重木雕對聯「養天地正氣」，左側白色提袋印有簡約藍色標誌，後方座椅上放置著多個亮眼的大紅迎賓紙袋。整張照片光線明亮均勻，生動刻畫出一位深具遠見且極富教學熱忱的大學院長向廣大學子招手的溫暖神態。
文件一_第43頁,這張照片記錄了金凱儀院長在說明會上隆重宣布學院重磅國際合作進展的關鍵時刻。金院長站在講台側方，左手拿著會議手冊，右手食指高高舉起指向身後的大型簡報螢幕，神情激昂且充滿自信。投影布幕上正清晰展示題為「International exchange program」的簡報內容，條列出驚人的國際化成果：美國加州聖荷西州立大學（SJSU）於2024年成立涵蓋資工、數據科學與統計的最受矚目新學院IDS，而東吳巨資學院在2025年領先全台，成為「全台第一個與 SJSU IDS 簽署碩士先修機會的學院」！下方進一步條列出學生將享有的四大優勢：最快速取得雙學位、直通矽谷學習體驗、跨領域專業訓練以及國際職涯亮眼起點，台下聽眾無不為之動容。
文件一_第44頁,這張照片捕捉了說明會即將進入尾聲時金院長的「結論」總結畫面。金院長手持麥克風與講義，站在講台旁專注為聽眾做最後的精闢提煉。身後投影布幕標題為「結論：整合『資料科學』與『人工智慧』——培育未來世代所需的人才」。投影片上以醒目的綠色打勾圖示列出三大支柱：第一是「跨域學習 (Cross-domain learning)」，強調最先進的學習環境與多元訓練工作坊；第二是「強化產學合作 (Strong industry partnerships)」，落實產學協作與實驗室導向學習；第三則是「明確職涯路徑 (Clear career pathways)」，透過循序漸進的作品集建立與實作導向專案培養學生即戰力。右側並附有三張過往課堂研習與活動的精彩剪影，結構嚴謹且深具說服力。
文件一_第45頁,這是一張充滿科技未來感的品牌概念形象圖卡，以極具張力的冷色調幾何線條與青藍色電路板網絡為背景。頂部以深藍色字體標註「東吳大學巨量資料管理學院 資料科學系」，中央以醒目的白底黑字格言宣告：「數據不只是數字，更是改變生活的力量」。正中央設計了一個由同心圓光環、晶片節點與多媒體圖示（音波、影像、文件、醫療心電圖、物聯網WiFi）交織而成的立體幾何核心。下方則以粗體大字點出核心主旨：「當『資料科學』遇上『多媒體數據分析』」，並附上一個指向右側的青色箭頭。整張圖卡成功將抽象的資料科學昇華為具備社會影響力與科技美學的宏大願景，展現出該系深厚的前瞻視野。
文件一_第46頁,這是一張電視媒體專訪節目的精彩高畫質截圖，左上方標有《台灣好品牌 GOOD BRAND IN TAIWAN》節目標誌。畫面主角是東吳大學巨量資料管理學院金凱儀院長，她身穿一襲優雅的黑白細條紋襯衫，面帶自信從容的微笑，優雅地端坐在全新落成、寬敞明亮的智慧創新AI學習中心內部。她身後展示著長型科技討論桌、高階電競液晶螢幕、全室綠白相間的電路造型牆面以及明淨的校園綠意窗景。畫面下方覆蓋著大字新聞標題：「掌握資訊潮流 善用巨量資料，培育未來人才」，右側直條標籤則寫著「面對資料時代的專業培育 讓資料成為推動產業的力量」，充分彰顯出東吳巨資學院在全國高等數據科學教育界的標竿領導地位。
文件一_第47頁,這是一張散發著極致青春朝氣與知性氣質的學系形象寫真照片。畫面中的女主角是一位擁有精緻鵝蛋臉、烏黑柔順長髮與清澈大眼的年輕女大學生。她身穿一襲簡約乾淨的純白短袖圓領T恤與淺藍色高腰牛仔褲，單肩背著象徵大學生日常的米白色帆布後背包，雙手在身前端莊地捧著一本純白色精裝筆記本。她面帶溫暖甜美的微笑注視鏡頭，背後是陽光柔和灑落、綠樹成蔭的校園散步林道。照片左下角以微型斜角標籤端正印上「東吳大學巨量資料管理學院 資料科學系」的官方藍白標誌。整張照片完美結合了現代科技人才的知性專業與大學校園的純真美好，展現出資科系學子兼具優秀學養與陽光自信的卓越形象。
文件一_第48頁,這是一張針對校內優秀學子設計的「115學士生先修碩士班課程（學碩一貫）」官方招生簡章海報。背景採用科技深藍色調，上方展示了手握平板電腦分析大數據圖表的高階商務影像。海報正中央以粗體白色與明黃色大字宣告主標題，並以圖示列出關鍵規範：申請期間自115年5月4日起至5月29日止；甄選對象為本校學士班三年級以上優秀學生，至多錄取10名；申請方式需將歷年成績單（須附名次）、自傳、讀書計畫（述明進修動機與能力評估）及其他有利審查資料合併為單一PDF檔寄至指定公務信箱。下方並提供詳細辦法查詢之QR Code以及陳專員的分機聯絡資訊，版面條理清晰、權威專業。
文件一_第49頁,這是一張專為高中生與新生解惑所量身打造的「科系大辨析」問答圖卡問題篇。整張圖卡採用極具科技電競感的深綠色與青藍色霓虹發光風格設計，四周佈滿了精緻的印刷電路板線條、晶片節點與六角形蜂巢科技網格。版面正中央放置了一個立體金屬科技框，框內包含一個散發著耀眼青綠色光芒的立體鑽石質感「Q」字英文字母（代表Question）。下方以極具視覺衝擊力的深色加粗字體拋出核心提問：「資料科學系的課程與資工系差別？」，最底部並附有一個發光的指示箭頭引導讀者向右滑動查閱解答，整體視覺設計精準抓住了理工與資訊背景學子的目光。
文件一_第50頁,這張圖卡是前一張問題的官方標準解答篇，延續一致的深綠色霓虹電路板科技風格。中央的金屬方框內替換為發光的立體鑽石「A」字（代表Answer），周圍圍繞著大括號、求和符號Σ、積分符號∫、流程圖與長條統計圖等豐富的數學與計算機圖標。下方的白色圓角文字方塊內給予了極為詳盡的官方權威解答：課程上資科系同樣會修習程式語言、計算機概論、線性代數、微積分、演算法與人工智慧等基礎必修，這與資工系完全相通且皆為必備數理素養；但相較於資工系，資科系較少著重在最底層的作業系統內核與硬體電路，而是將全系核心重點投注在「資料分析與貼近生活的跨域應用」，強烈強調如何運用創新思維與演算法來解決真實世界的數位轉型問題。
文件一_第51頁,這是一張針對許多對資科系懷抱夢想卻擔心數理門檻的高中生所製作的問答圖卡問題篇。整體視覺採用深邃神祕的深藍色幾何電路板背景，無數細小的光斑與數據節點相互鏈結。中央是發光的藍白立體「Q」字浮雕勳章，下方以深藍色粗體大字誠懇拋出廣大考生的共同心聲：「如果是沒有很強數學背景的學生，在大一大二修核心課會不會很吃力？系上通常怎麼幫助學生跟上？」。底部並附有發光的白色小箭頭引導看答案。這張圖卡精準捕捉到了文理組跨考生在選填志願時最深層的焦慮，透過公開誠懇的提問，為接下來系所介紹紮實的課業輔導機制、助教演練課與分層引導教學做了最完美的鋪墊。
文件一_第52頁,這張照片記錄了一場極具分量的生醫資訊前沿專題講座現場。講台大螢幕上清楚投射出醒目的演講主題：「從大型語言模型到臨床 AI：應用、限制與落地經驗」，右上方標有主辦研究室 NLPLAB 的精緻 Logo。主講人張詠淳教授（台北醫學大學數據科技與管理研究所教授兼主任）身穿一件印有「Feline Faculty」與可愛貓咪插畫的深藍色T恤搭配休閒牛仔褲，手持麥克風與簡報器站在講台前神情專注地演講。投影片下方清楚列出張教授的大名、任職單位與公務電子信箱。整場講座由東吳資科系隆重邀請，旨在將大型語言模型如何在真實醫院臨床場域中輔助診斷、遭遇的幻覺限制以及如何完成醫療法規落地的第一手實戰經驗完整傳授給系上師生。
文件一_第53頁,這張照片記錄了該場臨床AI講座開場引言時兩位學者在講台上的精彩互動。畫面中左側是東吳大學資料科學系專任教師（身穿白色花紋短袖襯衫配戴眼鏡），右側則是主講貴賓台北醫學大學張詠淳教授。張教授正拿著黑色麥克風，神情謙遜且熱情地面對台下聽眾致意，身旁的主持老師則雙手抱胸、面帶燦爛笑容注視著全場，兩位資深學者在講台前展現出極佳的私交與學術惺惺相惜之情。講桌上擺放著筆記型電腦、熱水保溫杯與一杯外帶咖啡，後方的講台大螢幕與側邊小型液晶螢幕正同步待命播放投影片。整個畫面捕捉到了學術交流活動剛拉開序幕時那種輕鬆、溫暖而充滿期待的講堂氛圍。
